noise_type,snr_db,snr_db_num,n,accuracy,f1_macro,f1_weighted,f1_f450,f1_hunter,f1_mavic_video,f1_mavic_novideo,f1_mini3,f1_interference
awgn,-20,-20.0,941,0.13283740701381508,0.04334326875310482,0.03943548655313259,0.0,0.22727272727272727,0.0,0.0,0.03278688524590164,0.0
awgn,-15,-15.0,941,0.13283740701381508,0.04334326875310482,0.03943548655313259,0.0,0.22727272727272727,0.0,0.0,0.03278688524590164,0.0
awgn,-10,-10.0,941,0.13602550478214664,0.048818651228289774,0.0472902000372136,0.0,0.24096385542168672,0.0,0.0,0.05194805194805195,0.0
awgn,-5,-5.0,941,0.23910733262486716,0.1380579107342825,0.2152463257313474,0.0,0.2553191489361702,0.0,0.0,0.4210526315789474,0.1519756838905775
awgn,+0,0.0,941,0.6907545164718385,0.5399729970204185,0.705740126756504,0.16949152542372883,0.47713717693836977,0.9789029535864978,0.0,0.841300191204589,0.7730061349693252
awgn,+5,5.0,941,0.8480340063761955,0.7199678298141441,0.8325153135876712,0.8,0.6557377049180327,0.9917355371900827,0.0,0.9380530973451328,0.9342806394316163
awgn,+10,10.0,941,0.8894792773645058,0.7489685793364905,0.8642082924194291,0.8333333333333333,0.7300613496932515,0.9917355371900827,0.0,0.9966777408637874,0.9420035149384886
awgn,+15,15.0,941,0.8947927736450585,0.758608450259853,0.8689363692999081,0.8695652173913044,0.7391304347826086,1.0,0.0,0.9917355371900827,0.951219512195122
awgn,+20,20.0,941,0.900106269925611,0.7652377754337625,0.8738614427963017,0.8955223880597014,0.7407407407407407,1.0,0.0,0.9950248756218906,0.9601386481802426
awgn,inf,inf,941,0.89798087141339,0.7639805248492305,0.8718924793086277,0.8955223880597014,0.7384615384615384,1.0,0.0,0.9933774834437086,0.9565217391304348
fhss,-20,-20.0,941,0.5568544102019128,0.34498051877128405,0.49185344597961317,0.0,0.0,0.8785046728971964,0.0,0.5923000987166831,0.5990783410138248
fhss,-15,-15.0,941,0.6758767268862912,0.40513289145430637,0.5902721585222908,0.0,0.0,0.9655172413793104,0.0,0.7380073800738007,0.7272727272727272
fhss,-10,-10.0,941,0.7481402763018066,0.4390829545702036,0.6560704625285372,0.0,0.0,0.961038961038961,0.0,0.9202453987730062,0.7532133676092545
fhss,-5,-5.0,941,0.8522848034006376,0.6700890632166113,0.8128328544470926,0.4615384615384615,0.7676767676767675,0.9915966386554621,0.0,0.9538950715421304,0.8458274398868457
fhss,+0,0.0,941,0.9117959617428267,0.7869459723086386,0.877243971996611,0.9285714285714286,0.890566037735849,1.0,0.0,0.9852216748768473,0.9173166926677067
fhss,+5,5.0,941,0.9075451647183846,0.781017498816796,0.8776441595889785,0.9655172413793104,0.7737704918032787,1.0,0.0,0.9836065573770492,0.9632107023411371
fhss,+10,10.0,941,0.8990435706695006,0.7706408772724624,0.8711113613942605,0.9354838709677419,0.7492063492063492,1.0,0.0,0.9803921568627451,0.9587628865979382
fhss,+15,15.0,941,0.900106269925611,0.7667520151326664,0.8731042797436764,0.90625,0.74375,1.0,0.0,0.99009900990099,0.9604130808950087
fhss,+20,20.0,941,0.8990435706695006,0.7660671202271695,0.8722373777722329,0.90625,0.7414330218068537,1.0,0.0,0.99009900990099,0.9586206896551723
fhss,inf,inf,941,0.89798087141339,0.7639805248492305,0.8718924793086277,0.8955223880597014,0.7384615384615384,1.0,0.0,0.9933774834437086,0.9565217391304348
