epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,819.859,2.10165,0.69545,0.65455,0.63904,0.28281,0.27388,0.09941,3.3587,1.98949,0.66708,0.000539275,0.000539275,0.000539275
43,839.07,2.10171,0.69758,0.65579,0.65367,0.27941,0.27268,0.09707,3.414,2.0191,0.66392,0.000511769,0.000511769,0.000511769
44,858.197,2.09124,0.68925,0.65487,0.67429,0.2741,0.27456,0.09813,3.40311,1.89823,0.66259,0.000484263,0.000484263,0.000484263
45,877.417,2.08532,0.69132,0.65472,0.67894,0.2877,0.28633,0.10293,3.3537,1.94663,0.66556,0.000456758,0.000456758,0.000456758
46,896.163,2.08434,0.68772,0.65414,0.6931,0.28503,0.28374,0.10546,3.36084,1.99517,0.66548,0.000429253,0.000429253,0.000429253
47,915.905,2.07895,0.68848,0.65334,0.69397,0.28282,0.27989,0.10138,3.4017,1.90445,0.67256,0.000401747,0.000401747,0.000401747
48,935.729,2.07535,0.68079,0.65211,0.6819,0.27597,0.27408,0.09909,3.38542,1.96972,0.67063,0.000374242,0.000374242,0.000374242
49,954.572,2.06636,0.67869,0.65432,0.71239,0.28181,0.28182,0.10295,3.40164,1.93399,0.67038,0.000346736,0.000346736,0.000346736
50,973.789,2.07458,0.68408,0.654,0.69489,0.27904,0.27791,0.09877,3.38916,2.05097,0.67029,0.000319231,0.000319231,0.000319231
51,1008.15,2.06226,0.66511,0.65221,0.69603,0.28057,0.27899,0.10111,3.39507,2.02685,0.66405,0.000291725,0.000291725,0.000291725
52,1026.76,2.04267,0.65191,0.65321,0.68807,0.27574,0.27331,0.09486,3.43215,2.09304,0.66886,0.00026422,0.00026422,0.00026422
53,1045.35,2.03161,0.64622,0.65171,0.66711,0.28099,0.27668,0.10116,3.39141,2.14171,0.65925,0.000236714,0.000236714,0.000236714
54,1063.76,2.02299,0.64164,0.65149,0.69751,0.27831,0.27911,0.10095,3.42765,2.05718,0.66515,0.000209209,0.000209209,0.000209209
55,1081.36,2.01446,0.63787,0.65062,0.66508,0.28097,0.27415,0.09983,3.39701,2.16499,0.66251,0.000181703,0.000181703,0.000181703
56,1098.29,2.00283,0.62931,0.64954,0.67813,0.28759,0.28708,0.1042,3.36421,2.1341,0.65986,0.000154198,0.000154198,0.000154198
57,1115.4,1.99306,0.62235,0.64994,0.681,0.28176,0.28065,0.1008,3.39022,2.16632,0.66457,0.000126692,0.000126692,0.000126692
58,1132.56,2.00273,0.62778,0.64995,0.66769,0.27684,0.27637,0.0986,3.40612,2.14947,0.66457,9.91865e-05,9.91865e-05,9.91865e-05
59,1149.64,1.97333,0.61804,0.64868,0.68044,0.27766,0.278,0.10057,3.39297,2.14172,0.66293,7.1681e-05,7.1681e-05,7.1681e-05
60,1166.68,1.96872,0.61526,0.64795,0.67361,0.28148,0.28047,0.10059,3.397,2.15602,0.66224,4.41755e-05,4.41755e-05,4.41755e-05
